,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,gross
3125,Color,John Polson,86.0,85.0,21.0,782.0,Shiri Appleby,931.0,Drama|Thriller,Erika Christensen,Swimfan ,16300,3819,Jason Ritter,0.0,high school|hospital|new jersey|stanford university|swimming,http://www.imdb.com/title/tt0283026/?ref_=fn_tt_tt_1,217.0,English,USA,PG-13,8500000.0,2002.0,855.0,5.0,2.35,720,28563926.0
150,Color,Paul Feig,464.0,116.0,176.0,322.0,Kate McKinnon,783.0,Action|Comedy|Fantasy|Sci-Fi,Ed Begley Jr.,Ghostbusters ,69757,2097,Zach Woods,4.0,ghost|ghostbuster|ghostbusters|male objectification|reboot,http://www.imdb.com/title/tt1289401/?ref_=fn_tt_tt_1,1211.0,English,USA,PG-13,144000000.0,2016.0,370.0,5.5,2.35,62000,118099659.0
3150,Color,Jeff Nichols,368.0,130.0,337.0,820.0,Tye Sheridan,11000.0,Drama,Matthew McConaughey,Mud ,135286,13960,Sam Shepard,1.0,14 year old|boat|bounty hunter|boy|river,http://www.imdb.com/title/tt1935179/?ref_=fn_tt_tt_1,261.0,English,USA,PG-13,10000000.0,2012.0,1000.0,7.4,2.35,27000,21589307.0
765,Color,Graham Annable,219.0,96.0,7.0,642.0,Dee Bradley Baker,874.0,Adventure|Animation|Comedy|Family|Fantasy,Isaac Hempstead Wright,The Boxtrolls ,40883,3151,Tracy Morgan,3.0,chase|puppet animation|red hat|stop motion animation|troll,http://www.imdb.com/title/tt0787474/?ref_=fn_tt_tt_1,122.0,English,USA,PG,60000000.0,2014.0,668.0,6.8,1.85,11000,50807639.0
522,Color,Roland Emmerich,185.0,154.0,776.0,933.0,Adam Baldwin,10000.0,Action|Adventure|Sci-Fi,Will Smith,Independence Day ,430055,16785,Mary McDonnell,0.0,alien|area 51|military|spacecraft|spaceship,http://www.imdb.com/title/tt0116629/?ref_=fn_tt_tt_1,856.0,English,USA,PG-13,75000000.0,1996.0,2000.0,6.9,2.35,16000,306124059.0
2225,Color,David Ayer,190.0,109.0,453.0,2000.0,Chris Evans,18000.0,Action|Crime|Drama|Thriller,Keanu Reeves,Street Kings ,94892,33878,Noel Gugliemi,4.0,captain|lapd|murder|undercover cop|violence,http://www.imdb.com/title/tt0421073/?ref_=fn_tt_tt_1,189.0,English,USA,R,20000000.0,2008.0,11000.0,6.8,2.35,0,26415649.0
3729,Color,Tim Blake Nelson,92.0,95.0,596.0,697.0,Andrew Keegan,1000.0,Drama|Romance|Thriller,Mekhi Phifer,O ,17333,3300,John Heard,2.0,basketball|basketball player|boarding school|love|shakespeare's othello,http://www.imdb.com/title/tt0184791/?ref_=fn_tt_tt_1,153.0,English,USA,R,5000000.0,2001.0,835.0,6.2,1.85,0,16017403.0
1411,Color,Martin Scorsese,120.0,128.0,17000.0,387.0,Robert Mitchum,22000.0,Crime|Thriller,Robert De Niro,Cape Fear ,127503,24006,Joe Don Baker,0.0,lawyer|neo noir|prison|rapist|southern gothic,http://www.imdb.com/title/tt0101540/?ref_=fn_tt_tt_1,261.0,English,USA,R,35000000.0,1991.0,1000.0,7.3,2.35,0,79100000.0
1281,Color,Martin Scorsese,112.0,112.0,17000.0,354.0,David Carradine,22000.0,Crime|Drama|Romance|Thriller,Robert De Niro,Mean Streets ,67797,23737,David Proval,0.0,bar|catholic guilt|epilepsy|italian american|money,http://www.imdb.com/title/tt0070379/?ref_=fn_tt_tt_1,223.0,English,USA,R,500000.0,1973.0,926.0,7.4,1.85,0,32645.0
4270,Color,Debra Granik,365.0,100.0,81.0,179.0,Shelley Waggener,34000.0,Drama,Jennifer Lawrence,Winter's Bone ,111658,34446,Lauren Sweetser,2.0,bail|crystal meth|family relationships|female protagonist|search for father,http://www.imdb.com/title/tt1399683/?ref_=fn_tt_tt_1,297.0,English,USA,R,2000000.0,2010.0,248.0,7.2,1.85,20000,6531491.0
1018,Color,Jim Sheridan,174.0,84.0,260.0,692.0,Gregory Smith,6000.0,Drama|Mystery|Thriller,Naomi Watts,Dream House ,46239,8018,Sarah Gadon,0.0,closet|father daughter relationship|psychiatric hospital|real life sisters playing sisters|train,http://www.imdb.com/title/tt1462041/?ref_=fn_tt_tt_1,137.0,English,USA,PG-13,55000000.0,2011.0,694.0,6.0,2.35,0,21283440.0
2098,Color,Ken Scott,168.0,105.0,31.0,110.0,Bobby Moynihan,390.0,Comedy|Drama,Jack Reynor,Delivery Man ,59805,1006,Matthew Daddario,10.0,children|identity|lawsuit|lawyer|sperm donor,http://www.imdb.com/title/tt2387559/?ref_=fn_tt_tt_1,95.0,English,USA,PG-13,26000000.0,2013.0,311.0,6.4,2.35,0,30659817.0
3188,Color,Jay Duplass,182.0,83.0,157.0,581.0,Evan Ross,2000.0,Comedy|Drama,Judy Greer,"Jeff, Who Lives at Home ",56005,3374,Rae Dawn Chong,5.0,basement|errand|secret admirer|slacker|wrong number,http://www.imdb.com/title/tt1588334/?ref_=fn_tt_tt_1,112.0,English,USA,R,10000000.0,2011.0,616.0,6.5,1.85,0,4244155.0
1685,Color,Antoine Fuqua,105.0,96.0,845.0,488.0,Clifton Collins Jr.,978.0,Action|Crime|Thriller,Mira Sorvino,The Replacement Killers ,23345,3072,Patrick Kilpatrick,2.0,forger|hitman|passport|police|replacement,http://www.imdb.com/title/tt0120008/?ref_=fn_tt_tt_1,167.0,English,USA,R,30000000.0,1998.0,968.0,6.1,2.35,629,18967571.0
714,Color,Mark Dindal,161.0,81.0,10.0,397.0,Fred Willard,925.0,Adventure|Animation|Comedy|Family|Sci-Fi,Catherine O'Hara,Chicken Little ,63912,2252,Amy Sedaris,0.0,alien invasion|chicken|fish|friend|panic,http://www.imdb.com/title/tt0371606/?ref_=fn_tt_tt_1,251.0,English,USA,G,150000000.0,2005.0,729.0,5.8,1.85,912,135381507.0
407,Color,Brett Ratner,236.0,104.0,420.0,535.0,Gabourey Sidibe,2000.0,Action|Comedy|Crime,Matthew Broderick,Tower Heist ,110073,3768,Judd Hirsch,5.0,apartment|fbi|fraud|heist|manager,http://www.imdb.com/title/tt0471042/?ref_=fn_tt_tt_1,194.0,English,USA,PG-13,75000000.0,2011.0,906.0,6.2,2.35,0,78009155.0
2803,Color,Todd Field,251.0,137.0,143.0,280.0,Noah Emmerich,14000.0,Drama|Romance,Kate Winslet,Little Children ,92781,15337,Jane Adams,0.0,adulterous wife|bar|dysfunctional marriage|sex offender|suburb,http://www.imdb.com/title/tt0404203/?ref_=fn_tt_tt_1,320.0,English,USA,R,26000000.0,2006.0,617.0,7.6,2.35,5000,5459824.0
3044,Color,Brian De Palma,33.0,91.0,0.0,298.0,Gabrielle Carteris,636.0,Crime|Drama|Thriller,Steven Bauer,Raising Cain ,9903,1852,Gregg Henry,0.0,hitchcockian|long tracking shot|psychologist|psychology|wig,http://www.imdb.com/title/tt0105217/?ref_=fn_tt_tt_1,80.0,English,USA,R,12000000.0,1992.0,330.0,6.0,1.85,541,21370057.0
719,Color,Peter Weir,213.0,103.0,608.0,576.0,Noah Emmerich,2000.0,Comedy|Drama|Sci-Fi,Natascha McElhone,The Truman Show ,667983,3698,Peter Krause,1.0,controlled environment|fictional reality show|hidden camera|innocence lost|simulated reality,http://www.imdb.com/title/tt0120382/?ref_=fn_tt_tt_1,877.0,English,USA,PG,60000000.0,1998.0,617.0,8.1,1.85,18000,125603360.0
3258,Color,Greg Mottola,248.0,107.0,99.0,452.0,Martin Starr,17000.0,Comedy|Drama|Romance,Kristen Stewart,Adventureland ,131180,18983,Wendie Malick,6.0,amusement park|strong female character|summer job|teen movie|teenager,http://www.imdb.com/title/tt1091722/?ref_=fn_tt_tt_1,220.0,English,USA,R,,2009.0,985.0,6.8,1.85,0,16025394.0
664, Black and White,Clint Eastwood,169.0,130.0,16000.0,416.0,Courtney B. Vance,16000.0,Action|Adventure|Thriller,Clint Eastwood,Space Cowboys ,60165,17771,William Devane,1.0,nasa|old age|satellite|space|space shuttle,http://www.imdb.com/title/tt0186566/?ref_=fn_tt_tt_1,326.0,English,USA,PG-13,65000000.0,2000.0,495.0,6.4,2.35,0,90454043.0
4273,Color,Miranda July,151.0,91.0,244.0,244.0,Brad William Henke,538.0,Comedy|Drama,Najarra Townsend,Me and You and Everyone We Know ,31130,1349,Miranda July,0.0,fellatio|seven word title|shoe salesman|title directed by female|written by director,http://www.imdb.com/title/tt0415978/?ref_=fn_tt_tt_1,243.0,English,USA,R,2000000.0,2005.0,363.0,7.4,1.85,0,3885134.0
879,Color,Tony Scott,50.0,116.0,12000.0,552.0,Kurt Fuller,22000.0,Action|Drama|Sport|Thriller,Robert De Niro,The Fan ,38533,24618,Ellen Barkin,3.0,baseball|fan|obsession|salesman|san francisco giants,http://www.imdb.com/title/tt0116277/?ref_=fn_tt_tt_1,89.0,English,USA,R,55000000.0,1996.0,617.0,5.8,2.35,0,18573791.0
831,Color,Mark Neveldine,287.0,96.0,83.0,1000.0,Spencer Wilding,12000.0,Action|Fantasy|Thriller,Nicolas Cage,Ghost Rider: Spirit of Vengeance ,87745,16121,Christopher Lambert,1.0,deal with the devil|devil|eastern europe|ghost rider|monk,http://www.imdb.com/title/tt1071875/?ref_=fn_tt_tt_1,331.0,English,USA,PG-13,57000000.0,2011.0,1000.0,4.3,2.35,18000,51774002.0
215,Color,John McTiernan,85.0,102.0,323.0,241.0,Vladimir Kulich,845.0,Action|Adventure|History,Tony Curran,The 13th Warrior ,101411,1815,Clive Russell,1.0,arab|battle|combat|viking|warrior,http://www.imdb.com/title/tt0120657/?ref_=fn_tt_tt_1,546.0,English,USA,R,85000000.0,1999.0,372.0,6.6,2.35,0,32694788.0
284,Color,Steven Spielberg,252.0,145.0,14000.0,533.0,Frank Grillo,10000.0,Action|Mystery|Sci-Fi|Thriller,Tom Cruise,Minority Report ,399651,12546,Jessica Capshaw,0.0,future|murder|neo noir|washington d.c.|year 2054,http://www.imdb.com/title/tt0181689/?ref_=fn_tt_tt_1,1331.0,English,USA,PG-13,102000000.0,2002.0,798.0,7.7,2.35,0,132014112.0
4446,Color,Christopher McQuarrie,387.0,130.0,188.0,1000.0,Robert Duvall,10000.0,Action|Crime|Mystery|Thriller,Tom Cruise,Jack Reacher ,226583,16385,David Oyelowo,2.0,coma|mysterious villain|police chase|shooting range|sniper,http://www.imdb.com/title/tt0790724/?ref_=fn_tt_tt_1,448.0,English,USA,PG-13,60000000.0,2012.0,3000.0,7.0,2.35,38000,80033643.0
1978,Color,Gavin O'Connor,317.0,140.0,149.0,581.0,Frank Grillo,27000.0,Drama|Sport,Tom Hardy,Warrior ,332276,29692,Kevin Dunn,1.0,alcoholic|mixed martial arts|return home|tournament|underdog,http://www.imdb.com/title/tt1291584/?ref_=fn_tt_tt_1,514.0,English,USA,PG-13,25000000.0,2011.0,798.0,8.2,2.35,77000,13651662.0
763,Color,Jean-Pierre Jeunet,223.0,116.0,0.0,672.0,Michael Wincott,1000.0,Action|Horror|Sci-Fi,Gary Dourdan,Alien: Resurrection ,170179,3090,Raymond Cruz,0.0,alien|blood|breeding|clone|scientist,http://www.imdb.com/title/tt0118583/?ref_=fn_tt_tt_1,656.0,English,USA,R,75000000.0,1997.0,720.0,6.3,2.35,0,47748610.0
170,Color,Hironobu Sakaguchi,166.0,106.0,6.0,422.0,Ming-Na Wen,12000.0,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,Steve Buscemi,Final Fantasy: The Spirits Within ,72259,15015,Jean Simmons,1.0,general|military|scientist|soldier|year 2065,http://www.imdb.com/title/tt0173840/?ref_=fn_tt_tt_1,788.0,English,USA,PG-13,137000000.0,2001.0,2000.0,6.4,1.85,0,32131830.0
839,Color,Mike Gabriel,92.0,84.0,12.0,752.0,Frank Welker,23000.0,Adventure|Animation|Drama|Family|History|Musical|Romance,Christian Bale,Pocahontas ,119675,26754,Irene Bedard,1.0,actor playing multiple roles|love|one word title|unsubtitled foreign language|virginia,http://www.imdb.com/title/tt0114148/?ref_=fn_tt_tt_1,216.0,English,USA,G,55000000.0,1995.0,2000.0,6.6,1.78,0,141600000.0
1913,Color,John Eng,45.0,80.0,0.0,362.0,Cree Summer,971.0,Adventure|Animation|Comedy|Family|Fantasy|Musical,Elizabeth Daily,Rugrats Go Wild ,5674,3017,Nancy Cartwright,0.0,kid|oxygen|rugrats|trapped underwater|underwater,http://www.imdb.com/title/tt0337711/?ref_=fn_tt_tt_1,35.0,English,USA,PG,25000000.0,2003.0,503.0,5.6,2.35,329,39399750.0
29,Color,Colin Trevorrow,644.0,124.0,365.0,1000.0,Judy Greer,3000.0,Action|Adventure|Sci-Fi|Thriller,Bryce Dallas Howard,Jurassic World ,418214,8458,Omar Sy,0.0,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,1290.0,English,USA,PG-13,150000000.0,2015.0,2000.0,7.0,2.0,150000,652177271.0
2067,Color,Jerry Zaks,45.0,98.0,4.0,11000.0,Robert De Niro,29000.0,Drama,Leonardo DiCaprio,Marvin's Room ,20163,63194,Meryl Streep,2.0,house|leukemia|mental institution|nursing home|transplant,http://www.imdb.com/title/tt0116999/?ref_=fn_tt_tt_1,71.0,English,USA,PG-13,23000000.0,1996.0,22000.0,6.7,1.85,1000,12782508.0
2053,Color,David Zucker,43.0,85.0,119.0,144.0,Priscilla Presley,3000.0,Comedy|Crime,George Kennedy,The Naked Gun 2½: The Smell of Fear ,83269,3847,O.J. Simpson,6.0,american president|evil industrialist|ex girlfriend|political leader|president,http://www.imdb.com/title/tt0102510/?ref_=fn_tt_tt_1,87.0,English,USA,PG-13,23000000.0,1991.0,348.0,6.8,1.85,0,86930411.0
1873,Color,Mick Jackson,48.0,129.0,81.0,164.0,Mike Starr,970.0,Action|Drama|Music|Romance,Bill Cobbs,The Bodyguard ,89972,2551,DeVaughn Nixon,0.0,bodyguard|manager|pop singer|secret service agent|singer,http://www.imdb.com/title/tt0103855/?ref_=fn_tt_tt_1,126.0,English,USA,R,25000000.0,1992.0,854.0,6.1,1.85,0,121945720.0
3560,Color,Stephen Sommers,14.0,108.0,208.0,689.0,Frances Conroy,876.0,Adventure|Comedy|Drama|Family,Curtis Armstrong,The Adventures of Huck Finn ,6384,4840,Anne Heche,0.0,boy|lesson|mississippi river|river|slave,http://www.imdb.com/title/tt0106223/?ref_=fn_tt_tt_1,54.0,English,USA,PG,6500000.0,1993.0,827.0,6.2,1.85,391,24103594.0
4726,Color,Chris Kentis,235.0,79.0,9.0,7.0,Saul Stein,48.0,Adventure|Biography|Drama|Horror|Thriller,Blanchard Ryan,Open Water ,42256,67,Daniel Travis,1.0,bare chested male|female full frontal nudity|hairy chest|male full frontal nudity|nude with glasses,http://www.imdb.com/title/tt0374102/?ref_=fn_tt_tt_1,916.0,English,USA,R,500000.0,2003.0,10.0,5.7,1.85,0,30500882.0
5041,Color,Daniel Hsia,14.0,100.0,0.0,489.0,Daniel Henney,946.0,Comedy|Drama|Romance,Alan Ruck,Shanghai Calling ,1255,2386,Eliza Coupe,5.0,,http://www.imdb.com/title/tt2070597/?ref_=fn_tt_tt_1,9.0,English,USA,PG-13,,2012.0,719.0,6.3,2.35,660,10443.0
4544,Color,Duncan Tucker,169.0,103.0,2.0,226.0,Felicity Huffman,2000.0,Adventure|Comedy|Drama,Kevin Zegers,Transamerica ,36321,3192,Paul Borghese,2.0,bail|male full frontal nudity|sex change|stepfather|transsexual,http://www.imdb.com/title/tt0407265/?ref_=fn_tt_tt_1,230.0,English,USA,R,1000000.0,2005.0,508.0,7.4,1.85,0,9013113.0
2924,Color,Tom Shadyac,61.0,78.0,293.0,567.0,Udo Kier,759.0,Comedy,Sean Young,Ace Ventura: Pet Detective ,216486,2462,David Margulies,1.0,detective|dolphin|mascot|nudity|stupidity,http://www.imdb.com/title/tt0109040/?ref_=fn_tt_tt_1,242.0,English,USA,PG-13,12000000.0,1994.0,595.0,6.9,1.85,0,72217000.0
1453,Color,Clint Eastwood,392.0,137.0,16000.0,363.0,Naomi Watts,29000.0,Biography|Crime|Drama,Leonardo DiCaprio,J. Edgar ,102728,36258,Kaitlyn Dever,0.0,agent|fbi|federal bureau of investigation|gay relationship|secret,http://www.imdb.com/title/tt1616195/?ref_=fn_tt_tt_1,279.0,English,USA,R,35000000.0,2011.0,6000.0,6.6,2.35,16000,37304950.0
4559,Color,Sean Durkin,348.0,102.0,46.0,287.0,Julia Garner,321.0,Drama|Mystery|Thriller,Christopher Abbott,Martha Marcy May Marlene ,40425,1263,Brady Corbet,0.0,connecticut|cult|memory|new york|telephone call,http://www.imdb.com/title/tt1441326/?ref_=fn_tt_tt_1,186.0,English,USA,R,,2011.0,300.0,6.9,2.35,0,2981638.0
1967,Color,Akiva Schaffer,111.0,88.0,82.0,432.0,Jorma Taccone,874.0,Comedy,Sissy Spacek,Hot Rod ,59900,2062,Chris Parnell,5.0,humiliation|man child|moped|neighbor|slacker,http://www.imdb.com/title/tt0787475/?ref_=fn_tt_tt_1,149.0,English,USA,PG-13,,2007.0,434.0,6.7,2.35,0,13920741.0
843,Color,Sam Weisman,53.0,92.0,39.0,458.0,Abraham Benrubi,3000.0,Action|Adventure|Comedy|Family|Romance,Brendan Fraser,George of the Jungle ,56168,4518,Holland Taylor,0.0,animal companion|heiress|hero|jungle|male objectification,http://www.imdb.com/title/tt0119190/?ref_=fn_tt_tt_1,103.0,English,USA,PG,55000000.0,1997.0,562.0,5.4,1.85,5000,105263257.0
752,Color,Chris Butler,328.0,92.0,28.0,586.0,Kodi Smit-McPhee,10000.0,Adventure|Animation|Comedy|Family|Fantasy,Anna Kendrick,ParaNorman ,72287,13597,Elaine Stritch,0.0,curse|ghost|outcast|witch|zombie,http://www.imdb.com/title/tt1623288/?ref_=fn_tt_tt_1,176.0,English,USA,PG,60000000.0,2012.0,884.0,7.0,2.35,12000,55994557.0
4788,Color,Whit Stillman,71.0,98.0,89.0,3.0,Taylor Nichols,88.0,Comedy|Drama|Romance,Chris Eigeman,Metropolitan ,7143,173,Ellia Thompson,1.0,apartment|dancing|debutante|new york|upper class,http://www.imdb.com/title/tt0100142/?ref_=fn_tt_tt_1,52.0,English,USA,PG-13,225000.0,1990.0,74.0,7.5,1.66,865,2938208.0
1852,Color,Jim Sheridan,217.0,105.0,260.0,3000.0,Jake Gyllenhaal,20000.0,Drama|Thriller,Natalie Portman,Brothers ,88035,42473,Bailee Madison,0.0,afghanistan|death of soldier|presumed dead|prisoner|war trauma,http://www.imdb.com/title/tt0765010/?ref_=fn_tt_tt_1,201.0,English,USA,R,26000000.0,2009.0,15000.0,7.1,2.35,10000,28501651.0
2923,Color,Nicholas Meyer,148.0,116.0,120.0,664.0,Kirstie Alley,12000.0,Action|Adventure|Sci-Fi,Leonard Nimoy,Star Trek II: The Wrath of Khan ,91414,16539,Nichelle Nichols,2.0,jamming communications|planet|space station|taunt|trap,http://www.imdb.com/title/tt0084726/?ref_=fn_tt_tt_1,359.0,English,USA,PG,11000000.0,1982.0,980.0,7.7,2.35,0,78900000.0
1870,Color,Oliver Stone,242.0,129.0,0.0,655.0,Scott Glenn,2000.0,Biography|Drama|History,Toby Jones,W. ,40941,4264,Bruce McGill,1.0,bible|cabinet meeting|dog|drinking|family relationships,http://www.imdb.com/title/tt1175491/?ref_=fn_tt_tt_1,320.0,English,USA,PG-13,25100000.0,2008.0,826.0,6.4,2.35,0,25517500.0
722,Color,Baltasar Kormákur,265.0,109.0,175.0,459.0,Patrick Fischler,18000.0,Action|Comedy|Crime|Drama|Thriller,Denzel Washington,2 Guns ,156898,20148,Fred Ward,1.0,close up of breasts|female nudity|fugitive|money|undercover,http://www.imdb.com/title/tt1272878/?ref_=fn_tt_tt_1,172.0,English,USA,R,61000000.0,2013.0,497.0,6.7,2.35,22000,75573300.0
784,Color,Jon Avnet,198.0,101.0,50.0,1000.0,Al Pacino,22000.0,Action|Crime|Drama|Mystery|Thriller,Robert De Niro,Righteous Kill ,73368,38809,50 Cent,2.0,blood splatter|execution|new york city|nypd|serial killer,http://www.imdb.com/title/tt1034331/?ref_=fn_tt_tt_1,248.0,English,USA,R,60000000.0,2008.0,14000.0,6.0,2.35,0,40076438.0
4060,Color,David Raynr,24.0,113.0,9.0,12.0,Mikki Padilla,71.0,Biography|Comedy|Documentary,Nancy O'Dell,Martin Lawrence Live: Runteldat ,1466,159,Dayna Devon,1.0,actor name in title|colon in title|four word title|live performance|satire,http://www.imdb.com/title/tt0327036/?ref_=fn_tt_tt_1,35.0,English,USA,R,3000000.0,2002.0,65.0,5.4,1.85,63,19184015.0
2851,Color,Preston A. Whitmore II,37.0,117.0,17.0,912.0,Chris Brown,1000.0,Comedy|Drama|Romance,Mekhi Phifer,This Christmas ,6528,6554,Loretta Devine,9.0,christmas|family home|musician|piano|secret,http://www.imdb.com/title/tt0937375/?ref_=fn_tt_tt_1,32.0,English,USA,PG-13,13000000.0,2007.0,997.0,6.1,2.35,0,49121934.0
4081,Color,Nnegest Likké,37.0,99.0,18.0,233.0,Jimmy Jean-Louis,939.0,Comedy,Mo'Nique,Phat Girlz ,8279,2321,Joyful Drake,0.0,female protagonist|size positive|thin|title directed by female|wet dream,http://www.imdb.com/title/tt0490196/?ref_=fn_tt_tt_1,101.0,English,USA,PG-13,3000000.0,2006.0,407.0,3.0,1.85,837,7059537.0
1077,Color,Eric Brevig,201.0,93.0,40.0,311.0,Brendan Fraser,14000.0,Action|Adventure|Family|Fantasy|Sci-Fi,Josh Hutcherson,Journey to the Center of the Earth ,85323,17925,Anita Briem,0.0,cave|lost world|missing brother|mountain|venus flytrap,http://www.imdb.com/title/tt0373051/?ref_=fn_tt_tt_1,212.0,English,USA,PG,45000000.0,2008.0,3000.0,5.8,1.85,0,101702060.0
3647,Color,Stefan Ruzowitzky,162.0,95.0,24.0,874.0,Olivia Wilde,16000.0,Crime|Drama|Thriller,Charlie Hunnam,Deadfall ,32512,27575,Sissy Spacek,1.0,police officer|police officer killed|police officer shot|sex scene,http://www.imdb.com/title/tt1667310/?ref_=fn_tt_tt_1,86.0,English,USA,R,12000000.0,2012.0,10000.0,6.3,2.35,0,65804.0
1190,Color,Sam Taylor-Johnson,362.0,129.0,456.0,716.0,Luke Grimes,1000.0,Drama|Romance,Jennifer Ehle,Fifty Shades of Grey ,220020,4585,Callum Rennie,0.0,female frontal nudity|female nudity|perversion|sex scene|spanking,http://www.imdb.com/title/tt2322441/?ref_=fn_tt_tt_1,1360.0,English,USA,R,40000000.0,2015.0,935.0,4.1,2.35,101000,166147885.0
2875,Color,Jon Lucas,168.0,93.0,24.0,499.0,Josie Loren,552.0,Comedy,Justin Chon,21 & Over ,60407,2730,Sarah Wright,0.0,21st birthday|college student|drunken man|pubic hair|standing up to father,http://www.imdb.com/title/tt1711425/?ref_=fn_tt_tt_1,84.0,English,USA,R,13000000.0,2013.0,528.0,5.9,2.35,11000,25675765.0
2410,Color,Audrey Wells,111.0,113.0,22.0,148.0,Lindsay Duncan,727.0,Comedy|Drama|Romance,Raoul Bova,Under the Tuscan Sun ,35718,1310,Mario Monicelli,1.0,author|book|vacation|villa|writer,http://www.imdb.com/title/tt0328589/?ref_=fn_tt_tt_1,317.0,English,USA,PG-13,18000000.0,2003.0,171.0,6.7,1.85,0,43601508.0
1585, Black and White,Rob Marshall,223.0,113.0,252.0,90.0,Chita Rivera,539.0,Comedy|Crime|Musical,Colm Feore,Chicago ,172080,813,Jayne Eastwood,0.0,fame|jail|jazz age|murder|vaudeville,http://www.imdb.com/title/tt0299658/?ref_=fn_tt_tt_1,1017.0,English,USA,PG-13,45000000.0,2002.0,151.0,7.2,1.85,0,170684505.0
240,Color,George Lucas,320.0,136.0,0.0,1000.0,Liam Neeson,20000.0,Action|Adventure|Fantasy|Sci-Fi,Natalie Portman,Star Wars: Episode I - The Phantom Menace ,534658,37723,Ian McDiarmid,1.0,alien|character says i have a bad feeling about this|hand to hand combat|seven word title|wilhelm scream,http://www.imdb.com/title/tt0120915/?ref_=fn_tt_tt_1,3597.0,English,USA,PG,115000000.0,1999.0,14000.0,6.5,2.35,13000,474544677.0
3206,Color,Ariel Vromen,221.0,106.0,34.0,683.0,James Franco,11000.0,Biography|Crime|Drama,Chris Evans,The Iceman ,55567,23187,Robert Davi,1.0,based on true story|contract killer|crime family|murder of a girl|serial murderer,http://www.imdb.com/title/tt1491044/?ref_=fn_tt_tt_1,144.0,English,USA,R,10000000.0,2012.0,11000.0,6.9,1.85,20000,1939441.0
38,Color,Sam Raimi,525.0,130.0,0.0,11000.0,Mila Kunis,44000.0,Adventure|Family|Fantasy,Tim Holmes,Oz the Great and Powerful ,175409,73441,James Franco,4.0,circus|magic|magician|oz|witch,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,511.0,English,USA,PG,215000000.0,2013.0,15000.0,6.4,2.35,60000,234903076.0
303,Color,Joe Wright,256.0,111.0,456.0,394.0,Cara Delevingne,20000.0,Adventure|Family|Fantasy,Hugh Jackman,Pan ,39956,21393,Nonso Anozie,4.0,1940s|child hero|fantasy world|orphan|reference to peter pan,http://www.imdb.com/title/tt3332064/?ref_=fn_tt_tt_1,186.0,English,USA,PG,150000000.0,2015.0,548.0,5.8,2.35,24000,34964818.0
1864,Color,Tarsem Singh,178.0,117.0,763.0,523.0,Derek Luke,16000.0,Action|Mystery|Sci-Fi|Thriller,Ryan Reynolds,Self/less ,57674,17847,Sandra Ellis Lafferty,0.0,cancer|elderly man|funeral|medical|transhumanism,http://www.imdb.com/title/tt2140379/?ref_=fn_tt_tt_1,126.0,English,USA,PG-13,26000000.0,2015.0,543.0,6.5,2.35,11000,12276810.0
203,Color,Robert Schwentke,208.0,96.0,124.0,1000.0,Jeff Bridges,16000.0,Action|Comedy|Fantasy,Ryan Reynolds,R.I.P.D. ,91640,31549,Stephanie Szostak,2.0,drug dealer|gold|partner|police|undead,http://www.imdb.com/title/tt0790736/?ref_=fn_tt_tt_1,210.0,English,USA,PG-13,130000000.0,2013.0,12000.0,5.6,2.35,20000,33592415.0
1498,Color,Ridley Scott,147.0,117.0,0.0,567.0,Albert Finney,883.0,Comedy|Drama|Romance,Archie Panjabi,A Good Year ,70698,3611,Richard Coyle,1.0,based on novel|inheritance|provence|uncle|wine,http://www.imdb.com/title/tt0401445/?ref_=fn_tt_tt_1,196.0,English,USA,PG-13,35000000.0,2006.0,883.0,6.9,2.35,9000,7458269.0
1538,Color,Stephen Daldry,299.0,124.0,335.0,50.0,David Kross,14000.0,Drama|Romance,Kate Winslet,The Reader ,189812,14504,Susanne Lothar,0.0,love|reading|teaching oneself to read|trial|war crime,http://www.imdb.com/title/tt0976051/?ref_=fn_tt_tt_1,370.0,English,USA,R,32000000.0,2008.0,388.0,7.6,1.85,15000,34180954.0
1019,Color,Costa-Gavras,59.0,115.0,333.0,317.0,Blythe Danner,972.0,Crime|Drama|Thriller,Mia Kirshner,Mad City ,16562,2606,William Atherton,2.0,hostage|museum|natural history museum|news reporter|reporter,http://www.imdb.com/title/tt0119592/?ref_=fn_tt_tt_1,73.0,English,USA,PG-13,50000000.0,1997.0,713.0,6.2,2.35,697,10556196.0
